htime,haddend,hcum,vtime,vaddend,vcum,mess
1.27s,5.77ms,1260.4340000000007,0.2s,0.7ms,198.79999999999998, ## Loading kernel from FIT Image at a0000000 ...
1.27s,1.42ms,1261.8540000000007,0.2s,0.4ms,199.2,    Using 'config-1' configuration
1.27s,0.6ms,1262.4540000000006,0.2s,0.1ms,199.29999999999998,    Trying 'vmlinux' kernel subimage
1.27s,0.24ms,1262.6940000000006,0.2s,0s,199.29999999999998,      Description:  vmlinux
1.27s,0.65ms,1263.3440000000007,0.2s,0.1ms,199.39999999999998,      Type:         Kernel Image
1.27s,0.48ms,1263.8240000000008,0.2s,0.1ms,199.49999999999997,      Compression:  uncompressed
1.27s,0.82ms,1264.6440000000007,0.2s,0.2ms,199.69999999999996,      Data Start:   0xa00000c8
1.27s,0.63ms,1265.2740000000008,0.2s,0.1ms,199.79999999999995,      Data Size:    17660416 Bytes = 16.8 MiB
1.27s,0.25ms,1265.5240000000008,0.2s,0s,199.79999999999995,      Architecture: RISC-V
1.27s,0.42ms,1265.9440000000009,0.2s,0.1ms,199.89999999999995,      OS:           Linux
1.27s,0.53ms,1266.4740000000008,0.2s,0.1ms,199.99999999999994,      Load Address: 0x80200000
1.27s,0.47ms,1266.9440000000009,0.2s,0.1ms,200.09999999999994,      Entry Point:  0x80200000
1.27s,1.03ms,1267.9740000000008,0.2s,0.3ms,200.39999999999995,    Verifying Hash Integrity ... OK
1.28s,5.17ms,1273.144000000001,0.2s,1.8ms,202.19999999999996, ## Loading fdt from FIT Image at a0000000 ...
1.28s,0.9ms,1274.044000000001,0.2s,0.3ms,202.49999999999997,    Using 'config-1' configuration
1.28s,0.63ms,1274.6740000000011,0.2s,0.2ms,202.69999999999996,    Trying 'fdt' fdt subimage
1.28s,0.4ms,1275.0740000000012,0.2s,0.1ms,202.79999999999995,      Description:  unavailable
1.28s,0.17ms,1275.2440000000013,0.2s,0s,202.79999999999995,      Type:         Flat Device Tree
1.28s,0.34ms,1275.5840000000012,0.2s,0.1ms,202.89999999999995,      Compression:  uncompressed
1.28s,0.61ms,1276.194000000001,0.2s,0.2ms,203.09999999999994,      Data Start:   0xa4f297f8
1.28s,0.2ms,1276.3940000000011,0.2s,0s,203.09999999999994,      Data Size:    16655 Bytes = 16.3 KiB
1.28s,0.35ms,1276.744000000001,0.2s,0.1ms,203.19999999999993,      Architecture: RISC-V
