htime,haddend,hcum,vtime,vaddend,vcum,mess
94.55ms,94.55ms,94.55,39µs,39µs,0.039, *** Booting Zephyr OS build zephyr-v3.1.0  ***
95.4ms,0.86ms,95.41,0.1ms,61µs,0.1, Hello World! beaglev_starlight_jh7100
