htime,haddend,hcum,vtime,vaddend,vcum,mess
0.21s,0.21s,210.0,0.52ms,0.52ms,0.52, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.24s,23.88ms,233.88,1.8ms,1.28ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.24s,0.38ms,234.26,1.8ms,0s,1.8,
0.24s,1.17ms,235.42999999999998,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,60µs,235.48999999999998,2ms,0s,2.0,
0.24s,0.49ms,235.98,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,76µs,236.05599999999998,2.1ms,0s,2.1,
0.24s,0.97ms,237.02599999999998,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.24s,0.13ms,237.15599999999998,2.3ms,0s,2.3000000000000003,
0.24s,0.62ms,237.77599999999998,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.24s,76µs,237.85199999999998,2.4ms,0s,2.4000000000000004,
0.24s,0.85ms,238.70199999999997,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.24s,60µs,238.76199999999997,2.6ms,0s,2.6000000000000005,
0.24s,0.53ms,239.29199999999997,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.24s,61µs,239.35299999999998,2.7ms,0s,2.7000000000000006,
0.24s,0.74ms,240.093,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.24s,96µs,240.189,2.9ms,0s,2.900000000000001,
0.24s,0.52ms,240.709,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.24s,62µs,240.77100000000002,3ms,0s,3.000000000000001,
0.25s,0.7ms,241.471,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.25s,90µs,241.561,3.2ms,0s,3.200000000000001,
0.25s,0.49ms,242.05100000000002,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.25s,72µs,242.12300000000002,3.3ms,0s,3.300000000000001,
0.25s,0.78ms,242.90300000000002,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.25s,64µs,242.967,3.5ms,0s,3.5000000000000013,
0.25s,2.12ms,245.08700000000002,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.25s,95µs,245.18200000000002,3.6ms,0s,3.6000000000000014,
0.25s,0.82ms,246.002,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.25s,62µs,246.06400000000002,3.8ms,0s,3.8000000000000016,
0.25s,0.57ms,246.63400000000001,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.25s,80µs,246.71400000000003,3.9ms,0s,3.9000000000000017,
0.25s,0.81ms,247.52400000000003,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.25s,84µs,247.60800000000003,4.1ms,0s,4.100000000000001,
0.25s,0.6ms,248.20800000000003,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.25s,0.11ms,248.31800000000004,4.2ms,0s,4.200000000000001,
0.25s,0.98ms,249.29800000000003,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
