htime,haddend,hcum,vtime,vaddend,vcum,mess
0.22s,0.22s,220.0,0.52ms,0.52ms,0.52, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.24s,24.64ms,244.64,1.8ms,1.28ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.24s,0.37ms,245.01,1.8ms,0s,1.8,
0.24s,1.16ms,246.17,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,79µs,246.249,2ms,0s,2.0,
0.24s,0.55ms,246.799,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,89µs,246.888,2.1ms,0s,2.1,
0.25s,0.83ms,247.71800000000002,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.25s,84µs,247.80200000000002,2.3ms,0s,2.3000000000000003,
0.25s,0.55ms,248.35200000000003,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.25s,83µs,248.43500000000003,2.4ms,0s,2.4000000000000004,
0.25s,0.76ms,249.19500000000002,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.25s,90µs,249.28500000000003,2.6ms,0s,2.6000000000000005,
0.25s,0.5ms,249.78500000000003,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.25s,77µs,249.86200000000002,2.7ms,0s,2.7000000000000006,
0.25s,0.71ms,250.57200000000003,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.25s,76µs,250.64800000000002,2.9ms,0s,2.900000000000001,
0.25s,0.53ms,251.17800000000003,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.25s,77µs,251.25500000000002,3ms,0s,3.000000000000001,
