htime,haddend,hcum,vtime,vaddend,vcum,mess
0.18s,0.18s,180.0,0.53ms,0.53ms,0.53, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.19s,6.17ms,186.17,1.8ms,1.27ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.19s,0.36ms,186.53,1.8ms,0s,1.8,
0.19s,0.94ms,187.47,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.19s,72µs,187.542,2ms,0s,2.0,
0.19s,0.77ms,188.312,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.19s,0.12ms,188.43200000000002,2.1ms,0s,2.1,
0.19s,0.83ms,189.26200000000003,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.19s,74µs,189.33600000000004,2.3ms,0s,2.3000000000000003,
0.19s,0.81ms,190.14600000000004,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.19s,70µs,190.21600000000004,2.4ms,0s,2.4000000000000004,
0.19s,0.84ms,191.05600000000004,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.19s,70µs,191.12600000000003,2.6ms,0s,2.6000000000000005,
0.19s,0.81ms,191.93600000000004,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.19s,71µs,192.00700000000003,2.7ms,0s,2.7000000000000006,
0.19s,0.87ms,192.87700000000004,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.19s,71µs,192.94800000000004,2.9ms,0s,2.900000000000001,
0.19s,0.8ms,193.74800000000005,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.19s,70µs,193.81800000000004,3ms,0s,3.000000000000001,
0.19s,0.86ms,194.67800000000005,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.19s,70µs,194.74800000000005,3.2ms,0s,3.200000000000001,
0.19s,0.8ms,195.54800000000006,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.19s,70µs,195.61800000000005,3.3ms,0s,3.300000000000001,
0.2s,0.87ms,196.48800000000006,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.2s,70µs,196.55800000000005,3.5ms,0s,3.5000000000000013,
0.2s,0.77ms,197.32800000000006,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.2s,0.11ms,197.43800000000007,3.6ms,0s,3.6000000000000014,
0.2s,2.22ms,199.65800000000007,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.2s,0.11ms,199.7680000000001,3.8ms,0s,3.8000000000000016,
0.2s,0.89ms,200.65800000000007,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.2s,0.1ms,200.75800000000007,3.9ms,0s,3.9000000000000017,
0.2s,0.88ms,201.63800000000006,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.2s,0.1ms,201.73800000000006,4.1ms,0s,4.100000000000001,
0.2s,0.82ms,202.55800000000005,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.2s,70µs,202.62800000000004,4.2ms,0s,4.200000000000001,
0.2s,0.87ms,203.49800000000005,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.2s,71µs,203.56900000000005,4.4ms,0s,4.400000000000001,
0.2s,0.8ms,204.36900000000006,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.2s,82µs,204.45100000000005,4.5ms,0s,4.500000000000001,
0.2s,0.82ms,205.27100000000004,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.2s,0.1ms,205.37100000000004,4.7ms,0s,4.700000000000001,
0.21s,0.71ms,206.08100000000005,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.21s,69µs,206.15000000000003,4.8ms,0s,4.800000000000001,
0.21s,0.84ms,206.99000000000004,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.21s,69µs,207.05900000000003,5ms,0s,5.000000000000001,
0.21s,0.84ms,207.89900000000003,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.21s,0.1ms,207.99900000000002,5.1ms,0s,5.1000000000000005,
0.21s,0.89ms,208.889,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.21s,69µs,208.958,5.3ms,0s,5.300000000000001,
0.21s,0.78ms,209.738,5.4ms,0.1ms,5.4," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.21s,98µs,209.836,5.4ms,0s,5.4,
0.21s,0.83ms,210.66600000000003,5.6ms,0.2ms,5.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.21s,99µs,210.76500000000001,5.6ms,0s,5.6000000000000005,
0.21s,0.84ms,211.60500000000002,5.7ms,0.1ms,5.7," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.21s,71µs,211.67600000000002,5.7ms,0s,5.7,
0.21s,0.88ms,212.556,5.9ms,0.2ms,5.9," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.21s,74µs,212.63000000000002,5.9ms,0s,5.9,
0.21s,0.8ms,213.43000000000004,6ms,0.1ms,6.0," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.21s,0.11ms,213.54000000000005,6ms,0s,6.0,
0.21s,1.36ms,214.90000000000006,6.2ms,0.2ms,6.2," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.21s,0.15ms,215.05000000000007,6.2ms,0s,6.2,
0.22s,1.3ms,216.35000000000008,6.3ms,0.1ms,6.3," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.22s,0.21ms,216.5600000000001,6.3ms,0s,6.3,
0.22s,1.44ms,218.00000000000009,6.5ms,0.2ms,6.5," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.22s,0.3ms,218.3000000000001,6.5ms,0s,6.5,
0.22s,1.33ms,219.6300000000001,6.6ms,0.1ms,6.6," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.22s,0.15ms,219.78000000000011,6.6ms,0s,6.6,
0.22s,1.27ms,221.05000000000013,6.8ms,0.2ms,6.8," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.22s,0.12ms,221.17000000000013,6.8ms,0s,6.8,
0.22s,1.24ms,222.41000000000014,6.9ms,0.1ms,6.8999999999999995," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.22s,0.11ms,222.52000000000015,6.9ms,0s,6.8999999999999995,
0.22s,1.24ms,223.76000000000016,7.1ms,0.2ms,7.1," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.22s,0.11ms,223.87000000000018,7.1ms,0s,7.1,
0.22s,1.23ms,225.10000000000016,7.2ms,0.1ms,7.199999999999999," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.22s,0.11ms,225.21000000000018,7.2ms,0s,7.199999999999999,
0.23s,1.25ms,226.46000000000018,7.4ms,0.2ms,7.3999999999999995," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.23s,0.11ms,226.5700000000002,7.4ms,0s,7.3999999999999995,
0.23s,1.14ms,227.71000000000018,7.5ms,0.1ms,7.499999999999999," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.23s,0.11ms,227.8200000000002,7.5ms,0s,7.499999999999999,
0.23s,1.28ms,229.1000000000002,7.7ms,0.2ms,7.699999999999999," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.23s,0.1ms,229.2000000000002,7.7ms,0s,7.699999999999999,
