htime,haddend,hcum,vtime,vaddend,vcum,mess
0.18s,0.18s,180.0,0.53ms,0.53ms,0.53, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.19s,5.96ms,185.96,1.8ms,1.27ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.19s,0.17ms,186.13,1.8ms,0s,1.8,
0.19s,0.89ms,187.01999999999998,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.19s,92µs,187.112,2ms,0s,2.0,
0.19s,0.82ms,187.932,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.19s,95µs,188.027,2.1ms,0s,2.1,
0.19s,0.91ms,188.93699999999998,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.19s,74µs,189.011,2.3ms,0s,2.3000000000000003,
0.19s,0.82ms,189.831,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.19s,72µs,189.903,2.4ms,0s,2.4000000000000004,
0.19s,0.86ms,190.763,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.19s,72µs,190.835,2.6ms,0s,2.6000000000000005,
0.19s,0.8ms,191.63500000000002,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.19s,72µs,191.70700000000002,2.7ms,0s,2.7000000000000006,
0.2s,0.88ms,192.58700000000002,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.2s,74µs,192.66100000000003,2.9ms,0s,2.900000000000001,
0.2s,0.83ms,193.49100000000004,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.2s,0.1ms,193.59100000000004,3ms,0s,3.000000000000001,
0.2s,0.91ms,194.50100000000003,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.2s,0.11ms,194.61100000000005,3.2ms,0s,3.200000000000001,
0.2s,0.85ms,195.46100000000004,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.2s,92µs,195.55300000000005,3.3ms,0s,3.300000000000001,
0.2s,0.93ms,196.48300000000006,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.2s,89µs,196.57200000000006,3.5ms,0s,3.5000000000000013,
0.2s,0.85ms,197.42200000000005,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.2s,80µs,197.50200000000007,3.6ms,0s,3.6000000000000014,
0.2s,0.86ms,198.36200000000008,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.2s,71µs,198.43300000000008,3.8ms,0s,3.8000000000000016,
0.2s,0.76ms,199.19300000000007,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.2s,94µs,199.28700000000006,3.9ms,0s,3.9000000000000017,
0.2s,0.79ms,200.07700000000006,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.2s,96µs,200.17300000000006,4.1ms,0s,4.100000000000001,
0.2s,0.76ms,200.93300000000005,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.2s,69µs,201.00200000000004,4.2ms,0s,4.200000000000001,
0.21s,0.82ms,201.82200000000003,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.21s,70µs,201.89200000000002,4.4ms,0s,4.400000000000001,
0.21s,0.8ms,202.69200000000004,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.21s,70µs,202.76200000000003,4.5ms,0s,4.500000000000001,
0.21s,0.85ms,203.61200000000002,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.21s,70µs,203.68200000000002,4.7ms,0s,4.700000000000001,
0.21s,0.75ms,204.43200000000002,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.21s,71µs,204.50300000000001,4.8ms,0s,4.800000000000001,
0.21s,0.83ms,205.33300000000003,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.21s,98µs,205.43100000000004,5ms,0s,5.000000000000001,
0.21s,0.86ms,206.29100000000005,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.21s,0.11ms,206.40100000000007,5.1ms,0s,5.1000000000000005,
0.21s,0.89ms,207.29100000000005,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.21s,80µs,207.37100000000007,5.3ms,0s,5.300000000000001,
0.21s,0.79ms,208.16100000000006,5.4ms,0.1ms,5.4," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.21s,95µs,208.25600000000006,5.4ms,0s,5.4,
0.21s,0.91ms,209.16600000000005,5.6ms,0.2ms,5.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.21s,0.22ms,209.38600000000005,5.6ms,0s,5.6000000000000005,
0.21s,0.94ms,210.32600000000005,5.7ms,0.1ms,5.7," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.21s,0.13ms,210.45600000000005,5.7ms,0s,5.7,
0.21s,1.01ms,211.46600000000004,5.9ms,0.2ms,5.9," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.21s,0.23ms,211.69600000000003,5.9ms,0s,5.9,
0.22s,0.96ms,212.65600000000003,6ms,0.1ms,6.0," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.22s,78µs,212.73400000000004,6ms,0s,6.0,
0.22s,0.86ms,213.59400000000005,6.2ms,0.2ms,6.2," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.22s,71µs,213.66500000000005,6.2ms,0s,6.2,
0.22s,0.79ms,214.45500000000004,6.3ms,0.1ms,6.3," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.22s,69µs,214.52400000000003,6.3ms,0s,6.3,
0.22s,0.84ms,215.36400000000003,6.5ms,0.2ms,6.5," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.22s,70µs,215.43400000000003,6.5ms,0s,6.5,
