htime,haddend,hcum,vtime,vaddend,vcum,mess
0.21s,0.21s,210.0,0.52ms,0.52ms,0.52, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.23s,20.46ms,230.46,1.8ms,1.28ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.23s,0.42ms,230.88,1.8ms,0s,1.8,
0.23s,0.69ms,231.57,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.23s,51µs,231.62099999999998,2ms,0s,2.0,
0.23s,0.39ms,232.01099999999997,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.23s,48µs,232.05899999999997,2.1ms,0s,2.1,
0.23s,0.5ms,232.55899999999997,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.23s,83µs,232.64199999999997,2.3ms,0s,2.3000000000000003,
0.24s,0.37ms,233.01199999999997,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.24s,92µs,233.10399999999998,2.4ms,0s,2.4000000000000004,
0.24s,0.43ms,233.534,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.24s,93µs,233.62699999999998,2.6ms,0s,2.6000000000000005,
0.24s,0.35ms,233.97699999999998,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.24s,94µs,234.07099999999997,2.7ms,0s,2.7000000000000006,
0.24s,0.32ms,234.39099999999996,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.24s,48µs,234.43899999999996,2.9ms,0s,2.900000000000001,
0.24s,0.44ms,234.87899999999996,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.24s,47µs,234.92599999999996,3ms,0s,3.000000000000001,
0.24s,0.42ms,235.34599999999995,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.24s,46µs,235.39199999999994,3.2ms,0s,3.200000000000001,
0.24s,0.42ms,235.81199999999993,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.24s,47µs,235.85899999999992,3.3ms,0s,3.300000000000001,
0.24s,0.48ms,236.3389999999999,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.24s,47µs,236.3859999999999,3.5ms,0s,3.5000000000000013,
0.24s,0.45ms,236.8359999999999,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.24s,47µs,236.8829999999999,3.6ms,0s,3.6000000000000014,
0.24s,0.38ms,237.2629999999999,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.24s,63µs,237.32599999999988,3.8ms,0s,3.8000000000000016,
0.24s,1.83ms,239.1559999999999,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.24s,81µs,239.23699999999988,3.9ms,0s,3.9000000000000017,
