htime,haddend,hcum,vtime,vaddend,vcum,mess
0.18s,0.18s,180.0,0.53ms,0.53ms,0.53, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.19s,8.81ms,188.81,1.8ms,1.27ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.19s,0.23ms,189.04,1.8ms,0s,1.8,
0.19s,1.19ms,190.23,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.19s,89µs,190.319,2ms,0s,2.0,
0.19s,0.98ms,191.29899999999998,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.19s,86µs,191.385,2.1ms,0s,2.1,
0.2s,1.2ms,192.58499999999998,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.2s,94µs,192.67899999999997,2.3ms,0s,2.3000000000000003,
0.2s,1ms,193.67899999999997,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.2s,0.12ms,193.79899999999998,2.4ms,0s,2.4000000000000004,
0.2s,1.31ms,195.10899999999998,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.2s,0.13ms,195.23899999999998,2.6ms,0s,2.6000000000000005,
0.2s,1.03ms,196.26899999999998,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.2s,0.1ms,196.36899999999997,2.7ms,0s,2.7000000000000006,
0.2s,3.06ms,199.42899999999997,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.2s,99µs,199.52799999999996,2.9ms,0s,2.900000000000001,
0.2s,0.96ms,200.48799999999997,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.2s,75µs,200.56299999999996,3ms,0s,3.000000000000001,
0.21s,1.36ms,201.92299999999997,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.21s,82µs,202.00499999999997,3.2ms,0s,3.200000000000001,
0.21s,0.96ms,202.96499999999997,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.21s,85µs,203.04999999999998,3.3ms,0s,3.300000000000001,
0.21s,1.23ms,204.27999999999997,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.21s,84µs,204.36399999999998,3.5ms,0s,3.5000000000000013,
0.21s,0.96ms,205.32399999999998,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.21s,86µs,205.41,3.6ms,0s,3.6000000000000014,
0.21s,1.21ms,206.62,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.21s,0.11ms,206.73000000000002,3.8ms,0s,3.8000000000000016,
0.21s,0.96ms,207.69000000000003,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.21s,96µs,207.78600000000003,3.9ms,0s,3.9000000000000017,
0.21s,1.45ms,209.23600000000002,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.21s,0.17ms,209.406,4.1ms,0s,4.100000000000001,
0.21s,1.16ms,210.566,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.21s,0.18ms,210.746,4.2ms,0s,4.200000000000001,
0.22s,1.26ms,212.006,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.22s,84µs,212.09,4.4ms,0s,4.400000000000001,
0.22s,0.93ms,213.02,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.22s,83µs,213.103,4.5ms,0s,4.500000000000001,
0.22s,1.21ms,214.31300000000002,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.22s,84µs,214.39700000000002,4.7ms,0s,4.700000000000001,
0.22s,0.93ms,215.32700000000003,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.22s,84µs,215.41100000000003,4.8ms,0s,4.800000000000001,
0.22s,1.2ms,216.61100000000002,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.22s,89µs,216.70000000000002,5ms,0s,5.000000000000001,
0.22s,0.97ms,217.67000000000002,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.22s,85µs,217.75500000000002,5.1ms,0s,5.1000000000000005,
0.22s,1.16ms,218.91500000000002,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.22s,86µs,219.00100000000003,5.3ms,0s,5.300000000000001,
0.22s,0.96ms,219.96100000000004,5.4ms,0.1ms,5.4," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.22s,84µs,220.04500000000004,5.4ms,0s,5.4,
0.22s,1.25ms,221.29500000000004,5.6ms,0.2ms,5.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.22s,84µs,221.37900000000005,5.6ms,0s,5.6000000000000005,
0.23s,0.96ms,222.33900000000006,5.7ms,0.1ms,5.7," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.23s,84µs,222.42300000000006,5.7ms,0s,5.7,
0.23s,1.14ms,223.56300000000005,5.9ms,0.2ms,5.9," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.23s,89µs,223.65200000000004,5.9ms,0s,5.9,
0.23s,0.97ms,224.62200000000004,6ms,0.1ms,6.0," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.23s,83µs,224.70500000000004,6ms,0s,6.0,
0.23s,1.2ms,225.90500000000003,6.2ms,0.2ms,6.2," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.23s,84µs,225.98900000000003,6.2ms,0s,6.2,
0.23s,0.97ms,226.95900000000003,6.3ms,0.1ms,6.3," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.23s,84µs,227.04300000000003,6.3ms,0s,6.3,
0.23s,1.24ms,228.28300000000004,6.5ms,0.2ms,6.5," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.23s,83µs,228.36600000000004,6.5ms,0s,6.5,
0.23s,0.96ms,229.32600000000005,6.6ms,0.1ms,6.6," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.23s,83µs,229.40900000000005,6.6ms,0s,6.6,
0.23s,1.2ms,230.60900000000004,6.8ms,0.2ms,6.8," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.23s,83µs,230.69200000000004,6.8ms,0s,6.8,
0.24s,0.94ms,231.63200000000003,6.9ms,0.1ms,6.8999999999999995," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.24s,85µs,231.71700000000004,6.9ms,0s,6.8999999999999995,
0.24s,1.19ms,232.90700000000004,7.1ms,0.2ms,7.1," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.24s,84µs,232.99100000000004,7.1ms,0s,7.1,
0.24s,0.96ms,233.95100000000005,7.2ms,0.1ms,7.199999999999999," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.24s,84µs,234.03500000000005,7.2ms,0s,7.199999999999999,
0.24s,1.21ms,235.24500000000006,7.4ms,0.2ms,7.3999999999999995," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.24s,85µs,235.33000000000007,7.4ms,0s,7.3999999999999995,
0.24s,0.92ms,236.25000000000006,7.5ms,0.1ms,7.499999999999999," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.24s,84µs,236.33400000000006,7.5ms,0s,7.499999999999999,
0.24s,1.08ms,237.41400000000007,7.7ms,0.2ms,7.699999999999999," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.24s,85µs,237.49900000000008,7.7ms,0s,7.699999999999999,
0.24s,0.89ms,238.38900000000007,7.8ms,0.1ms,7.799999999999999," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.24s,85µs,238.47400000000007,7.8ms,0s,7.799999999999999,
0.24s,1.16ms,239.63400000000007,8ms,0.2ms,7.999999999999999," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,92µs,239.72600000000008,8ms,0s,7.999999999999999,
0.24s,0.96ms,240.6860000000001,8.1ms,0.1ms,8.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,87µs,240.77300000000008,8.1ms,0s,8.1,
0.25s,1.15ms,241.9230000000001,8.3ms,0.2ms,8.299999999999999," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.25s,89µs,242.01200000000009,8.3ms,0s,8.299999999999999,
0.25s,0.95ms,242.96200000000007,8.4ms,0.1ms,8.399999999999999," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.25s,87µs,243.04900000000006,8.4ms,0s,8.399999999999999,
0.25s,1.13ms,244.17900000000006,8.6ms,0.2ms,8.599999999999998," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.25s,82µs,244.26100000000005,8.6ms,0s,8.599999999999998,
0.25s,0.89ms,245.15100000000004,8.7ms,0.1ms,8.699999999999998," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.25s,0.11ms,245.26100000000005,8.7ms,0s,8.699999999999998,
0.25s,2.41ms,247.67100000000005,8.9ms,0.2ms,8.899999999999997," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.25s,0.2ms,247.87100000000004,8.9ms,0s,8.899999999999997,
0.25s,1.08ms,248.95100000000005,9ms,0.1ms,8.999999999999996," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.25s,90µs,249.04100000000005,9ms,0s,8.999999999999996,
