htime,haddend,hcum,vtime,vaddend,vcum,mess
0.22s,0.22s,220.0,0.52ms,0.52ms,0.52, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.24s,25.4ms,245.4,1.8ms,1.28ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.24s,0.35ms,245.75,1.8ms,0s,1.8,
0.24s,1.21ms,246.96,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,94µs,247.054,2ms,0s,2.0,
0.24s,0.52ms,247.574,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,80µs,247.65400000000002,2.1ms,0s,2.1,
0.24s,1ms,248.65400000000002,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.24s,0.12ms,248.77400000000003,2.3ms,0s,2.3000000000000003,
0.25s,0.67ms,249.44400000000002,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.25s,0.12ms,249.56400000000002,2.4ms,0s,2.4000000000000004,
0.25s,0.93ms,250.49400000000003,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.25s,0.12ms,250.61400000000003,2.6ms,0s,2.6000000000000005,
0.25s,0.56ms,251.17400000000004,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.25s,0.13ms,251.30400000000003,2.7ms,0s,2.7000000000000006,
0.25s,0.91ms,252.21400000000003,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.25s,0.24ms,252.45400000000004,2.9ms,0s,2.900000000000001,
0.25s,0.69ms,253.14400000000003,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.25s,0.15ms,253.29400000000004,3ms,0s,3.000000000000001,
0.25s,0.78ms,254.07400000000004,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.25s,0.1ms,254.17400000000004,3.2ms,0s,3.200000000000001,
0.25s,0.52ms,254.69400000000005,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.25s,0.1ms,254.79400000000004,3.3ms,0s,3.300000000000001,
0.25s,0.82ms,255.61400000000003,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.25s,0.11ms,255.72400000000005,3.5ms,0s,3.5000000000000013,
0.25s,0.49ms,256.21400000000006,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.25s,91µs,256.30500000000006,3.6ms,0s,3.6000000000000014,
0.25s,0.67ms,256.9750000000001,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.25s,63µs,257.03800000000007,3.8ms,0s,3.8000000000000016,
0.25s,0.49ms,257.5280000000001,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.25s,53µs,257.5810000000001,3.9ms,0s,3.9000000000000017,
0.25s,0.62ms,258.2010000000001,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.25s,73µs,258.27400000000006,4.1ms,0s,4.100000000000001,
0.25s,0.42ms,258.6940000000001,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.25s,69µs,258.7630000000001,4.2ms,0s,4.200000000000001,
0.26s,0.75ms,259.5130000000001,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.26s,0.1ms,259.6130000000001,4.4ms,0s,4.400000000000001,
0.26s,0.48ms,260.09300000000013,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.26s,65µs,260.15800000000013,4.5ms,0s,4.500000000000001,
0.26s,0.62ms,260.77800000000013,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.26s,62µs,260.84000000000015,4.7ms,0s,4.700000000000001,
0.26s,0.44ms,261.28000000000014,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.26s,55µs,261.33500000000015,4.8ms,0s,4.800000000000001,
0.26s,0.56ms,261.89500000000015,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.26s,52µs,261.9470000000002,5ms,0s,5.000000000000001,
0.26s,0.45ms,262.39700000000016,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.26s,51µs,262.44800000000015,5.1ms,0s,5.1000000000000005,
0.26s,0.75ms,263.19800000000015,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.26s,63µs,263.26100000000014,5.3ms,0s,5.300000000000001,
0.26s,0.49ms,263.75100000000015,5.4ms,0.1ms,5.4," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.26s,64µs,263.81500000000017,5.4ms,0s,5.4,
0.26s,0.6ms,264.4150000000002,5.6ms,0.2ms,5.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.26s,63µs,264.4780000000002,5.6ms,0s,5.6000000000000005,
0.26s,1.82ms,266.2980000000002,5.7ms,0.1ms,5.7," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.26s,63µs,266.36100000000016,5.7ms,0s,5.7,
0.26s,0.59ms,266.95100000000014,5.9ms,0.2ms,5.9," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.26s,52µs,267.00300000000016,5.9ms,0s,5.9,
0.26s,0.45ms,267.45300000000015,6ms,0.1ms,6.0," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.26s,52µs,267.50500000000017,6ms,0s,6.0,
0.26s,0.64ms,268.14500000000015,6.2ms,0.2ms,6.2," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.26s,62µs,268.20700000000016,6.2ms,0s,6.2,
