htime,haddend,hcum,vtime,vaddend,vcum,mess
0.18s,0.18s,180.0,0.53ms,0.53ms,0.53, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.19s,9.18ms,189.18,1.8ms,1.27ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.19s,0.23ms,189.41,1.8ms,0s,1.8,
0.2s,1.21ms,190.62,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.2s,0.11ms,190.73000000000002,2ms,0s,2.0,
0.2s,0.94ms,191.67000000000002,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.2s,74µs,191.74400000000003,2.1ms,0s,2.1,
0.2s,1.28ms,193.02400000000003,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.2s,72µs,193.09600000000003,2.3ms,0s,2.3000000000000003,
0.2s,0.98ms,194.07600000000002,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.2s,71µs,194.14700000000002,2.4ms,0s,2.4000000000000004,
0.2s,1.28ms,195.42700000000002,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.2s,81µs,195.508,2.6ms,0s,2.6000000000000005,
0.2s,0.98ms,196.488,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.2s,82µs,196.57,2.7ms,0s,2.7000000000000006,
0.2s,1.29ms,197.85999999999999,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.2s,82µs,197.94199999999998,2.9ms,0s,2.900000000000001,
0.2s,1.04ms,198.98199999999997,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.2s,80µs,199.06199999999998,3ms,0s,3.000000000000001,
0.2s,1.24ms,200.302,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.21s,0.11ms,200.412,3.2ms,0s,3.200000000000001,
0.21s,1ms,201.412,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.21s,73µs,201.485,3.3ms,0s,3.300000000000001,
