htime,haddend,hcum,vtime,vaddend,vcum,mess
0.21s,0.21s,210.0,0.52ms,0.52ms,0.52, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.23s,20.08ms,230.07999999999998,1.8ms,1.28ms,1.8," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.23s,0.36ms,230.44,1.8ms,0s,1.8,
0.23s,0.67ms,231.10999999999999,2ms,0.2ms,2.0," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.23s,51µs,231.16099999999997,2ms,0s,2.0,
0.24s,0.3ms,231.46099999999998,2.1ms,0.1ms,2.1," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,47µs,231.50799999999998,2.1ms,0s,2.1,
0.24s,0.4ms,231.908,2.3ms,0.2ms,2.3000000000000003," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
0.24s,67µs,231.975,2.3ms,0s,2.3000000000000003,
0.24s,0.32ms,232.295,2.4ms,0.1ms,2.4000000000000004," x_value: 1.2566366*2^0, y_value: 1.9316229*2^-1"
0.24s,48µs,232.343,2.4ms,0s,2.4000000000000004,
0.24s,0.38ms,232.72299999999998,2.6ms,0.2ms,2.6000000000000005," x_value: 1.5707957*2^0, y_value: 1.0420598*2^0"
0.24s,47µs,232.76999999999998,2.6ms,0s,2.6000000000000005,
0.24s,0.31ms,233.07999999999998,2.7ms,0.1ms,2.7000000000000006," x_value: 1.8849551*2^0, y_value: 1.9146791*2^-1"
0.24s,47µs,233.12699999999998,2.7ms,0s,2.7000000000000006,
0.24s,0.4ms,233.527,2.9ms,0.2ms,2.900000000000001," x_value: 1.0995567*2^1, y_value: 1.6435742*2^-1"
0.24s,46µs,233.57299999999998,2.9ms,0s,2.900000000000001,
0.24s,0.3ms,233.873,3ms,0.1ms,3.000000000000001," x_value: 1.2566366*2^1, y_value: 1.0674761*2^-1"
0.24s,47µs,233.92,3ms,0s,3.000000000000001,
0.24s,0.31ms,234.23,3.2ms,0.2ms,3.200000000000001," x_value: 1.4137159*2^1, y_value: 1.8977352*2^-3"
0.24s,50µs,234.28,3.2ms,0s,3.200000000000001,
0.24s,0.31ms,234.59,3.3ms,0.1ms,3.300000000000001," x_value: 1.5707957*2^1, y_value: 1.0844199*2^-7"
0.24s,46µs,234.636,3.3ms,0s,3.300000000000001,
0.24s,0.44ms,235.076,3.5ms,0.2ms,3.5000000000000013," x_value: 1.7278753*2^1, y_value: -1.2199725*2^-2"
0.24s,97µs,235.173,3.5ms,0s,3.5000000000000013,
0.24s,0.34ms,235.513,3.6ms,0.1ms,3.6000000000000014," x_value: 1.8849551*2^1, y_value: -1.0674761*2^-1"
0.24s,0.11ms,235.62300000000002,3.6ms,0s,3.6000000000000014,
0.24s,0.42ms,236.043,3.8ms,0.2ms,3.8000000000000016," x_value: 1.0210171*2^2, y_value: -1.5588537*2^-1"
0.24s,91µs,236.13400000000001,3.8ms,0s,3.8000000000000016,
0.24s,0.31ms,236.44400000000002,3.9ms,0.1ms,3.9000000000000017," x_value: 1.0995567*2^2, y_value: -1.9316229*2^-1"
0.24s,48µs,236.49200000000002,3.9ms,0s,3.9000000000000017,
0.24s,0.35ms,236.842,4.1ms,0.2ms,4.100000000000001," x_value: 1.1780966*2^2, y_value: -1.1098361*2^0"
0.24s,49µs,236.89100000000002,4.1ms,0s,4.100000000000001,
0.24s,0.27ms,237.16100000000003,4.2ms,0.1ms,4.200000000000001," x_value: 1.2566366*2^2, y_value: -1.965511*2^-1"
0.24s,54µs,237.21500000000003,4.2ms,0s,4.200000000000001,
0.24s,0.42ms,237.63500000000002,4.4ms,0.2ms,4.400000000000001," x_value: 1.3351763*2^2, y_value: -1.4910772*2^-1"
0.24s,73µs,237.70800000000003,4.4ms,0s,4.400000000000001,
0.24s,0.49ms,238.19800000000004,4.5ms,0.1ms,4.500000000000001," x_value: 1.4137159*2^2, y_value: -1.0674761*2^-1"
0.24s,97µs,238.29500000000004,4.5ms,0s,4.500000000000001,
0.24s,0.52ms,238.81500000000005,4.7ms,0.2ms,4.700000000000001," x_value: 1.4922558*2^2, y_value: -1.4233011*2^-2"
0.24s,69µs,238.88400000000004,4.7ms,0s,4.700000000000001,
0.24s,0.44ms,239.32400000000004,4.8ms,0.1ms,4.800000000000001," x_value: 1.0*2^-127, y_value: 1.0*2^-127"
0.24s,48µs,239.37200000000004,4.8ms,0s,4.800000000000001,
0.24s,0.36ms,239.73200000000006,5ms,0.2ms,5.000000000000001," x_value: 1.2566366*2^-2, y_value: 1.4910772*2^-2"
0.24s,47µs,239.77900000000005,5ms,0s,5.000000000000001,
0.24s,0.3ms,240.07900000000006,5.1ms,0.1ms,5.1000000000000005," x_value: 1.2566366*2^-1, y_value: 1.1183078*2^-1"
0.24s,47µs,240.12600000000006,5.1ms,0s,5.1000000000000005,
0.24s,0.39ms,240.51600000000005,5.3ms,0.2ms,5.300000000000001," x_value: 1.8849551*2^-1, y_value: 1.677462*2^-1"
